so_id,so_line_id,customer_id,product_id,warehouse_id,order_date,requested_delivery_date,promised_delivery_date,actual_ship_date,actual_delivery_date,qty_ordered,qty_shipped,qty_backordered,unit_price,revenue,status
SO-4210,1,CUST-0455,IF-8430,WH-CENTRAL,2025-11-17,2025-12-01,2025-12-01,2025-11-28,2025-12-01,5,5,0,8.0,40.0,delivered
SO-4211,1,CUST-0183,IF-9195,WH-CENTRAL,2025-12-11,2025-12-21,2025-12-21,2025-12-20,2025-12-21,25,25,0,13.5,337.5,delivered
SO-4212,1,CUST-0440,EC-1847,WH-SOUTH,2025-11-21,2025-11-25,2025-11-27,2025-11-24,2025-11-27,50,50,0,142.0,7100.0,delivered
SO-4213,1,CUST-0168,SE-1995,WH-CENTRAL,2025-11-17,2025-11-25,2025-11-26,2025-11-26,2025-11-26,50,50,0,76.0,3800.0,delivered
SO-4214,1,CUST-0260,SE-3280,WH-SOUTH,2025-12-09,2025-12-19,2025-12-20,2025-12-19,2025-12-19,25,25,0,58.0,1450.0,delivered
SO-4215,1,CUST-0041,SE-2215,WH-SOUTH,2025-12-03,2025-12-17,2025-12-19,2025-12-16,2025-12-18,50,50,0,11.5,575.0,delivered
SO-4216,1,CUST-0215,SE-2980,WH-EAST,2025-11-17,2025-11-21,2025-11-22,2025-11-21,2025-11-23,25,25,0,41.0,1025.0,delivered
SO-4217,1,CUST-0168,HF-3280,WH-WEST,2025-12-08,2025-12-20,2025-12-20,2025-12-19,2025-12-20,100,100,0,7.7,770.0,delivered
SO-4218,1,CUST-0580,IF-8650,WH-CENTRAL,2025-12-11,2025-12-20,2025-12-21,2025-12-20,2025-12-22,25,25,0,13.0,325.0,delivered
SO-4219,1,CUST-0115,SE-2430,WH-CENTRAL,2025-12-08,2025-12-17,2025-12-17,2025-12-14,2025-12-16,100,100,0,121.0,12100.0,delivered
SO-4220,1,CUST-0073,PB-4340,WH-EAST,2025-12-10,2025-12-15,2025-12-15,2025-12-15,2025-12-14,25,25,0,48.0,1200.0,delivered
SO-4221,1,CUST-0730,SE-1675,WH-CENTRAL,2025-12-08,2025-12-17,2025-12-18,2025-12-16,2025-12-18,25,25,0,48.0,1200.0,delivered
SO-4222,1,CUST-0168,PB-4340,WH-CENTRAL,2025-11-14,2025-11-27,2025-11-27,2025-11-25,2025-11-27,10,10,0,48.0,480.0,delivered
SO-4223,1,CUST-0245,EC-2970,WH-CENTRAL,2025-12-01,2025-12-08,2025-12-08,2025-12-06,2025-12-08,25,25,0,28.0,700.0,delivered
SO-4224,1,CUST-0183,EC-1102,WH-WEST,2025-11-24,2025-11-29,2025-11-29,2025-11-27,2025-11-29,5,5,0,21.0,105.0,delivered
SO-4225,1,CUST-0089,EC-1455,WH-WEST,2025-12-09,2025-12-19,2025-12-19,2025-12-16,2025-12-19,100,100,0,26.0,2600.0,delivered
SO-4226,1,CUST-0073,IF-8320,WH-EAST,2025-11-26,2025-12-02,2025-12-02,2025-12-01,2025-12-01,25,25,0,11.0,275.0,delivered
SO-4227,1,CUST-0290,EC-3004,WH-CENTRAL,2025-11-28,2025-12-02,2025-12-02,2025-12-02,2025-12-01,10,10,0,209.0,2090.0,delivered
SO-4228,1,CUST-0056,EC-2680,WH-WEST,2025-11-24,2025-11-30,2025-11-30,2025-11-30,2025-11-30,100,100,0,75.0,7500.0,delivered
SO-4229,1,CUST-0102,EC-2885,WH-WEST,2025-12-08,2025-12-15,2025-12-15,2025-12-15,2025-12-15,5,5,0,9.0,45.0,delivered
SO-4230,1,CUST-0700,PB-6280,WH-CENTRAL,2025-11-25,2025-12-07,2025-12-09,2025-12-07,2025-12-08,10,10,0,24.0,240.0,delivered
SO-4231,1,CUST-0134,EC-1720,WH-CENTRAL,2025-12-02,2025-12-14,2025-12-14,2025-12-12,2025-12-13,5,5,0,5.5,27.5,delivered
SO-4232,1,CUST-0215,EC-1455,WH-EAST,2025-11-21,2025-12-01,2025-12-01,2025-11-28,2025-12-01,25,25,0,26.0,650.0,delivered
SO-4233,1,CUST-0245,IF-8320,WH-EAST,2025-12-05,2025-12-14,2025-12-15,2025-12-14,2025-12-14,25,25,0,11.0,275.0,delivered
SO-4234,1,CUST-0012,SE-3370,WH-SOUTH,2025-12-03,2025-12-14,2025-12-16,2025-12-15,2025-12-16,25,25,0,18.0,450.0,delivered
SO-4235,1,CUST-0168,PB-6370,WH-CENTRAL,2025-11-26,2025-12-01,2025-12-03,2025-12-01,2025-12-03,10,10,0,8.7,87.0,delivered
SO-4236,1,CUST-0305,IF-9460,WH-WEST,2025-12-05,2025-12-08,2025-12-09,2025-12-07,2025-12-09,100,100,0,12.0,1200.0,delivered
SO-4237,1,CUST-0038,IF-9370,WH-WEST,2025-12-02,2025-12-13,2025-12-15,2025-12-12,2025-12-16,10,10,0,10.0,100.0,delivered
SO-4238,1,CUST-0012,EC-2275,WH-SOUTH,2025-11-18,2025-12-01,2025-12-02,2025-11-30,2025-12-03,10,10,0,41.0,410.0,delivered
SO-4239,1,CUST-0230,IF-9370,WH-CENTRAL,2025-12-05,2025-12-17,2025-12-17,2025-12-16,2025-12-17,10,10,0,10.0,100.0,delivered
SO-4240,1,CUST-0128,PB-4560,WH-EAST,2025-12-03,2025-12-06,2025-12-06,2025-12-04,2025-12-06,25,25,0,20.0,500.0,delivered
SO-4241,1,CUST-0740,PB-5100,WH-WEST,2025-11-17,2025-12-01,2025-12-03,2025-12-03,2025-12-03,25,25,0,27.0,675.0,delivered
SO-4242,1,CUST-0590,HF-3090,WH-WEST,2025-11-19,2025-11-24,2025-11-24,2025-11-23,2025-11-24,50,50,0,12.5,625.0,delivered
SO-4243,1,CUST-0245,HF-1890,WH-CENTRAL,2025-11-24,2025-12-01,2025-12-01,2025-11-29,2025-12-01,10,10,0,325.0,3250.0,delivered
SO-4244,1,CUST-0012,IF-9460,WH-CENTRAL,2025-12-11,2025-12-14,2025-12-15,2025-12-14,2025-12-16,5,5,0,12.0,60.0,delivered
SO-4245,1,CUST-0056,EC-1610,WH-SOUTH,2025-11-25,2025-12-05,2025-12-05,2025-12-03,2025-12-05,10,10,0,19.0,190.0,delivered
SO-4246,1,CUST-0089,HF-1010,WH-SOUTH,2025-12-01,2025-12-07,2025-12-07,2025-12-07,2025-12-07,50,50,0,81.0,4050.0,delivered
SO-4247,1,CUST-0580,PB-6280,WH-SOUTH,2025-12-11,2025-12-17,2025-12-17,2025-12-15,2025-12-17,100,100,0,24.0,2400.0,delivered
SO-4248,1,CUST-0168,EC-2160,WH-CENTRAL,2025-11-24,2025-11-29,2025-11-29,2025-11-26,2025-11-30,50,50,0,12.5,625.0,delivered
SO-4249,1,CUST-0038,SE-3370,WH-WEST,2025-11-28,2025-12-08,2025-12-09,2025-12-07,2025-12-10,100,100,0,18.0,1800.0,delivered
SO-4250,1,CUST-0560,IF-7230,WH-CENTRAL,2025-12-11,2025-12-16,2025-12-16,2025-12-14,2025-12-17,25,25,0,76.0,1900.0,delivered
SO-4251,1,CUST-0056,SE-2980,WH-SOUTH,2025-11-14,2025-11-21,2025-11-21,2025-11-19,2025-11-21,100,100,0,41.0,4100.0,delivered
SO-4252,1,CUST-0041,SE-1455,WH-CENTRAL,2025-11-12,2025-11-26,2025-11-26,2025-11-26,2025-11-26,100,100,0,31.0,3100.0,delivered
SO-4253,1,CUST-0200,IF-8980,WH-EAST,2025-12-08,2025-12-15,2025-12-15,2025-12-13,2025-12-14,5,5,0,9.5,47.5,delivered
SO-4254,1,CUST-0168,PB-4230,WH-SOUTH,2025-11-26,2025-12-08,2025-12-08,2025-12-05,2025-12-07,5,5,0,121.0,605.0,delivered
SO-4255,1,CUST-0200,IF-7125,WH-WEST,2025-12-11,2025-12-15,2025-12-15,2025-12-12,2025-12-14,50,50,0,47.0,2350.0,delivered
SO-4256,1,CUST-0056,PB-5215,WH-CENTRAL,2025-12-08,2025-12-16,2025-12-18,2025-12-16,2025-12-18,5,5,0,14.5,72.5,delivered
SO-4257,1,CUST-0168,PB-4675,WH-CENTRAL,2025-12-09,2025-12-12,2025-12-12,2025-12-10,2025-12-13,10,10,0,37.0,370.0,delivered
SO-4258,1,CUST-0067,EC-2291,WH-WEST,2025-11-17,2025-11-28,2025-11-28,2025-11-27,2025-11-28,50,50,0,112.0,5600.0,delivered
SO-4259,1,CUST-0380,HF-3090,WH-WEST,2025-11-12,2025-11-25,2025-11-25,2025-11-23,2025-11-25,5,5,0,12.5,62.5,delivered
SO-4260,1,CUST-0230,IF-7455,WH-EAST,2025-11-12,2025-11-22,2025-11-22,2025-11-20,2025-11-21,5,5,0,31.0,155.0,delivered
SO-4261,1,CUST-0171,IF-7675,WH-CENTRAL,2025-11-14,2025-11-22,2025-11-22,2025-11-22,2025-11-22,50,50,0,14.0,700.0,delivered
SO-4262,1,CUST-0038,HF-1780,WH-SOUTH,2025-11-18,2025-11-22,2025-11-23,2025-11-20,2025-11-23,10,10,0,70.0,700.0,delivered
SO-4263,1,CUST-0012,IF-7340,WH-SOUTH,2025-11-14,2025-11-28,2025-11-28,2025-11-28,2025-11-27,25,25,0,64.0,1600.0,delivered
SO-4264,1,CUST-0134,SE-1125,WH-CENTRAL,2025-11-28,2025-12-07,2025-12-07,2025-12-07,2025-12-07,50,50,0,14.5,725.0,delivered
SO-4265,1,CUST-0089,EC-1205,WH-SOUTH,2025-12-04,2025-12-18,2025-12-18,2025-12-16,2025-12-19,10,10,0,48.0,480.0,delivered
SO-4266,1,CUST-0067,EC-2050,WH-SOUTH,2025-11-24,2025-11-30,2025-12-02,2025-11-30,2025-12-02,50,50,0,3.5,175.0,delivered
SO-4267,1,CUST-0620,EC-1940,WH-WEST,2025-11-14,2025-11-18,2025-11-19,2025-11-19,2025-11-18,25,25,0,32.0,800.0,delivered
SO-4268,1,CUST-0455,PB-5760,WH-CENTRAL,2025-12-05,2025-12-15,2025-12-16,2025-12-15,2025-12-16,100,100,0,225.0,22500.0,delivered
SO-4269,1,CUST-0395,EC-1580,WH-WEST,2025-11-12,2025-11-20,2025-11-22,2025-11-21,2025-11-22,50,50,0,37.0,1850.0,delivered
SO-4270,1,CUST-0102,HF-1890,WH-CENTRAL,2025-11-13,2025-11-22,2025-11-22,2025-11-21,2025-11-22,50,50,0,325.0,16250.0,delivered
SO-4271,1,CUST-0230,HF-2320,WH-WEST,2025-12-01,2025-12-15,2025-12-15,2025-12-12,2025-12-16,10,10,0,32.0,320.0,delivered
SO-4272,1,CUST-0134,EC-2291,WH-SOUTH,2025-12-08,2025-12-17,2025-12-17,2025-12-14,2025-12-18,10,10,0,112.0,1120.0,delivered
SO-4273,1,CUST-0630,HF-2430,WH-EAST,2025-11-26,2025-12-07,2025-12-07,2025-12-04,2025-12-07,50,50,0,114.0,5700.0,delivered
SO-4274,1,CUST-0305,PB-4010,WH-WEST,2025-12-01,2025-12-07,2025-12-07,2025-12-05,2025-12-07,10,10,0,31.0,310.0,delivered
SO-4275,1,CUST-0500,EC-2790,WH-EAST,2025-11-26,2025-12-04,2025-12-04,2025-12-02,2025-12-04,25,25,0,104.0,2600.0,delivered
SO-4276,1,CUST-0305,PB-6370,WH-SOUTH,2025-12-11,2025-12-17,2025-12-17,2025-12-16,2025-12-17,25,25,0,8.7,217.5,delivered
SO-4277,1,CUST-0168,SE-1780,WH-SOUTH,2025-11-28,2025-12-07,2025-12-08,2025-12-08,2025-12-08,25,25,0,28.0,700.0,delivered
SO-4278,1,CUST-0102,EC-1455,WH-CENTRAL,2026-01-08,2026-01-20,2026-01-22,2026-01-19,2026-01-22,25,25,0,26.0,650.0,delivered
SO-4279,1,CUST-0580,PB-4455,WH-SOUTH,2025-12-12,2025-12-18,2025-12-18,2025-12-16,2025-12-18,25,25,0,24.0,600.0,delivered
SO-4280,1,CUST-0056,HF-2980,WH-EAST,2026-01-06,2026-01-19,2026-01-19,2026-01-17,2026-01-19,100,100,0,4.7,470.0,delivered
SO-4281,1,CUST-0260,IF-7780,WH-WEST,2025-12-31,2026-01-08,2026-01-08,2026-01-07,2026-01-08,25,25,0,21.0,525.0,delivered
SO-4282,1,CUST-0128,HF-2760,WH-WEST,2025-12-22,2026-01-02,2026-01-04,2026-01-02,2026-01-05,25,25,0,164.0,4100.0,delivered
SO-4283,1,CUST-0089,HF-1780,WH-EAST,2025-12-16,2025-12-21,2025-12-22,2025-12-22,2025-12-23,100,100,0,70.0,7000.0,delivered
SO-4284,1,CUST-0305,PB-6090,WH-SOUTH,2025-12-23,2025-12-30,2025-12-30,2025-12-27,2025-12-29,10,10,0,97.0,970.0,delivered
SO-4285,1,CUST-0171,SE-1125,WH-SOUTH,2025-12-15,2025-12-27,2025-12-28,2025-12-27,2025-12-29,10,10,0,14.5,145.0,delivered
SO-4286,1,CUST-0425,IF-7125,WH-EAST,2026-01-09,2026-01-23,2026-01-25,2026-01-24,2026-01-25,25,25,0,47.0,1175.0,delivered
SO-4287,1,CUST-0102,IF-7010,WH-EAST,2025-12-17,2025-12-29,2025-12-29,2025-12-28,2025-12-28,10,10,0,54.0,540.0,delivered
SO-4288,1,CUST-0067,PB-6370,WH-CENTRAL,2026-01-05,2026-01-15,2026-01-16,2026-01-15,2026-01-16,50,50,0,8.7,435.0,delivered
SO-4289,1,CUST-0395,PB-4560,WH-WEST,2025-12-24,2025-12-30,2025-12-30,2025-12-27,2025-12-30,25,25,0,20.0,500.0,delivered
SO-4290,1,CUST-0038,HF-1010,WH-CENTRAL,2025-12-18,2025-12-26,2025-12-26,2025-12-24,2025-12-26,25,25,0,81.0,2025.0,delivered
SO-4291,1,CUST-0290,SE-2760,WH-SOUTH,2025-12-17,2025-12-28,2025-12-28,2025-12-25,2025-12-28,5,5,0,114.0,570.0,delivered
SO-4292,1,CUST-0168,SE-1230,WH-EAST,2026-01-01,2026-01-07,2026-01-08,2026-01-05,2026-01-08,25,25,0,209.0,5225.0,delivered
SO-4293,1,CUST-0320,PB-4780,WH-SOUTH,2025-12-29,2026-01-01,2026-01-01,2025-12-30,2026-01-02,5,5,0,16.0,80.0,delivered
SO-4294,1,CUST-0041,HF-3460,WH-CENTRAL,2026-01-01,2026-01-06,2026-01-07,2026-01-06,2026-01-07,10,10,0,87.0,870.0,delivered
SO-4295,1,CUST-0395,EC-3100,WH-WEST,2026-01-07,2026-01-16,2026-01-18,2026-01-15,2026-01-19,25,25,0,149.0,3725.0,delivered
SO-4296,1,CUST-0115,IF-9370,WH-SOUTH,2025-12-31,2026-01-11,2026-01-11,2026-01-08,2026-01-12,100,100,0,10.0,1000.0,delivered
SO-4297,1,CUST-0128,EC-2680,WH-CENTRAL,2025-12-29,2026-01-01,2026-01-01,2026-01-01,2026-01-01,10,10,0,75.0,750.0,delivered
SO-4298,1,CUST-0680,SE-1560,WH-WEST,2026-01-01,2026-01-10,2026-01-11,2026-01-08,2026-01-11,10,10,0,19.0,190.0,delivered
SO-4299,1,CUST-0038,EC-2160,WH-WEST,2025-12-12,2025-12-22,2025-12-22,2025-12-22,2025-12-22,25,25,0,12.5,312.5,delivered
SO-4300,1,CUST-0230,IF-7340,WH-WEST,2026-01-07,2026-01-18,2026-01-18,2026-01-18,2026-01-17,5,5,0,64.0,320.0,delivered
SO-4301,1,CUST-0500,HF-2430,WH-WEST,2025-12-26,2026-01-07,2026-01-07,2026-01-06,2026-01-06,5,5,0,114.0,570.0,delivered
SO-4302,1,CUST-0102,SE-2760,WH-WEST,2025-12-19,2025-12-30,2026-01-01,2025-12-29,2026-01-01,5,5,0,114.0,570.0,delivered
SO-4303,1,CUST-0038,EC-2970,WH-WEST,2026-01-08,2026-01-19,2026-01-19,2026-01-16,2026-01-19,25,25,0,28.0,700.0,delivered
SO-4304,1,CUST-0260,PB-5980,WH-SOUTH,2025-12-30,2026-01-09,2026-01-09,2026-01-07,2026-01-09,10,10,0,26.5,265.0,delivered
SO-4305,1,CUST-0089,HF-2100,WH-EAST,2026-01-08,2026-01-21,2026-01-21,2026-01-18,2026-01-21,10,10,0,10.5,105.0,delivered
SO-4306,1,CUST-0073,SE-2430,WH-SOUTH,2025-12-29,2026-01-02,2026-01-03,2026-01-03,2026-01-03,50,50,0,121.0,6050.0,delivered
SO-4307,1,CUST-0660,IF-8870,WH-SOUTH,2026-01-07,2026-01-18,2026-01-18,2026-01-18,2026-01-17,10,10,0,6.0,60.0,delivered
SO-4308,1,CUST-0073,EC-2380,WH-SOUTH,2025-12-31,2026-01-03,2026-01-03,2026-01-03,2026-01-03,100,100,0,87.0,8700.0,delivered
SO-4309,1,CUST-0067,HF-2320,WH-SOUTH,2026-01-01,2026-01-06,2026-01-07,2026-01-05,2026-01-07,25,25,0,32.0,800.0,delivered
SO-4310,1,CUST-0230,EC-2680,WH-SOUTH,2026-01-08,2026-01-18,2026-01-19,2026-01-16,2026-01-19,5,5,0,75.0,375.0,delivered
SO-4311,1,CUST-0215,SE-3090,WH-CENTRAL,2025-12-17,2025-12-23,2025-12-25,2025-12-25,2025-12-25,25,25,0,26.0,650.0,delivered
SO-4312,1,CUST-0128,SE-3460,WH-SOUTH,2025-12-22,2026-01-04,2026-01-05,2026-01-02,2026-01-06,10,10,0,48.0,480.0,delivered
SO-4313,1,CUST-0089,IF-7010,WH-SOUTH,2025-12-31,2026-01-04,2026-01-05,2026-01-05,2026-01-06,25,25,0,54.0,1350.0,delivered
SO-4314,1,CUST-0134,HF-3370,WH-CENTRAL,2025-12-31,2026-01-11,2026-01-13,2026-01-12,2026-01-14,10,10,0,44.0,440.0,delivered
SO-4315,1,CUST-0650,SE-2430,WH-CENTRAL,2025-12-23,2026-01-03,2026-01-04,2026-01-03,2026-01-04,25,25,0,121.0,3025.0,delivered
SO-4316,1,CUST-0038,EC-2291,WH-EAST,2025-12-29,2026-01-09,2026-01-11,2026-01-11,2026-01-11,10,10,0,112.0,1120.0,delivered
SO-4317,1,CUST-0660,PB-4995,WH-CENTRAL,2026-01-08,2026-01-12,2026-01-12,2026-01-09,2026-01-13,10,10,0,33.0,330.0,delivered
SO-4318,1,CUST-0067,HF-2320,WH-SOUTH,2025-12-26,2026-01-08,2026-01-09,2026-01-08,2026-01-10,50,50,0,32.0,1600.0,delivered
SO-4319,1,CUST-0275,EC-3517,WH-EAST,2025-12-31,2026-01-12,2026-01-13,2026-01-12,2026-01-12,25,25,0,73.0,1825.0,delivered
SO-4320,1,CUST-0500,SE-1125,WH-CENTRAL,2025-12-26,2026-01-06,2026-01-06,2026-01-06,2026-01-05,25,25,0,14.5,362.5,delivered
SO-4321,1,CUST-0128,PB-4780,WH-SOUTH,2025-12-18,2025-12-24,2025-12-25,2025-12-22,2025-12-25,10,10,0,16.0,160.0,delivered
SO-4322,1,CUST-0230,HF-1125,WH-SOUTH,2026-01-07,2026-01-19,2026-01-20,2026-01-19,2026-01-20,5,5,0,37.0,185.0,delivered
SO-4323,1,CUST-0440,IF-8430,WH-SOUTH,2025-12-30,2026-01-12,2026-01-12,2026-01-09,2026-01-12,5,5,0,8.0,40.0,delivered
SO-4324,1,CUST-0580,SE-1560,WH-EAST,2025-12-16,2025-12-27,2025-12-27,2025-12-27,2025-12-27,10,10,0,19.0,190.0,delivered
SO-4325,1,CUST-0320,SE-2980,WH-SOUTH,2026-01-02,2026-01-05,2026-01-07,2026-01-04,2026-01-07,5,5,0,41.0,205.0,delivered
SO-4326,1,CUST-0115,SE-2760,WH-EAST,2026-01-07,2026-01-10,2026-01-11,2026-01-08,2026-01-12,25,25,0,114.0,2850.0,delivered
SO-4327,1,CUST-0041,EC-2160,WH-CENTRAL,2026-01-09,2026-01-18,2026-01-18,2026-01-15,2026-01-18,10,10,0,12.5,125.0,delivered
SO-4328,1,CUST-0025,EC-1940,WH-WEST,2025-12-15,2025-12-25,2025-12-25,2025-12-24,2025-12-24,10,10,0,32.0,320.0,delivered
SO-4329,1,CUST-0025,SE-1560,WH-EAST,2025-12-26,2026-01-01,2026-01-03,2025-12-31,2026-01-03,100,100,0,19.0,1900.0,delivered
SO-4330,1,CUST-0056,SE-1010,WH-EAST,2025-12-26,2026-01-07,2026-01-09,2026-01-07,2026-01-09,10,10,0,54.0,540.0,delivered
SO-4331,1,CUST-0012,PB-6195,WH-EAST,2026-01-07,2026-01-16,2026-01-16,2026-01-13,2026-01-16,25,25,0,20.0,500.0,delivered
SO-4332,1,CUST-0560,EC-2490,WH-EAST,2026-01-02,2026-01-15,2026-01-17,2026-01-15,2026-01-17,25,25,0,65.0,1625.0,delivered
SO-4333,1,CUST-0038,HF-3195,WH-WEST,2025-12-15,2025-12-19,2025-12-19,2025-12-19,2025-12-19,25,25,0,52.0,1300.0,delivered
SO-4334,1,CUST-0380,PB-5980,WH-SOUTH,2025-12-16,2025-12-24,2025-12-24,2025-12-22,2025-12-24,25,25,0,26.5,662.5,delivered
SO-4335,1,CUST-0115,EC-2680,WH-SOUTH,2026-01-01,2026-01-05,2026-01-07,2026-01-05,2026-01-07,50,50,0,75.0,3750.0,delivered
SO-4336,1,CUST-0590,HF-1995,WH-SOUTH,2025-12-19,2025-12-31,2026-01-01,2025-12-31,2026-01-01,50,50,0,31.0,1550.0,delivered
SO-4337,1,CUST-0660,PB-5215,WH-WEST,2025-12-30,2026-01-05,2026-01-07,2026-01-07,2026-01-07,50,50,0,14.5,725.0,delivered
SO-4338,1,CUST-0056,EC-2160,WH-EAST,2025-12-24,2026-01-04,2026-01-04,2026-01-02,2026-01-03,10,10,0,12.5,125.0,delivered
SO-4339,1,CUST-0128,IF-7010,WH-CENTRAL,2025-12-12,2025-12-23,2025-12-23,2025-12-21,2025-12-24,5,5,0,54.0,270.0,delivered
SO-4340,1,CUST-0012,PB-5760,WH-SOUTH,2026-01-07,2026-01-13,2026-01-13,2026-01-12,2026-01-13,10,10,0,225.0,2250.0,delivered
SO-4341,1,CUST-0290,SE-2760,WH-EAST,2026-01-01,2026-01-08,2026-01-08,2026-01-07,2026-01-08,10,10,0,114.0,1140.0,delivered
SO-4342,1,CUST-0012,PB-4125,WH-WEST,2025-12-12,2025-12-19,2025-12-19,2025-12-19,2025-12-19,50,50,0,57.0,2850.0,delivered
SO-4343,1,CUST-0275,PB-6370,WH-WEST,2025-12-18,2025-12-21,2025-12-21,2025-12-21,2025-12-21,10,10,0,8.7,87.0,delivered
SO-4344,1,CUST-0183,HF-1890,WH-WEST,2025-12-19,2025-12-25,2025-12-25,2025-12-22,2025-12-24,50,50,0,325.0,16250.0,delivered
SO-4345,1,CUST-0089,IF-9090,WH-CENTRAL,2026-01-02,2026-01-13,2026-01-14,2026-01-13,2026-01-14,5,5,0,7.0,35.0,delivered
SO-4346,1,CUST-0183,SE-2650,WH-CENTRAL,2026-01-01,2026-01-06,2026-01-06,2026-01-06,2026-01-06,5,5,0,325.0,1625.0,delivered
SO-4347,1,CUST-0168,IF-7455,WH-SOUTH,2025-12-19,2025-12-30,2025-12-31,2025-12-29,2025-12-31,5,5,0,31.0,155.0,delivered
SO-4348,1,CUST-0365,PB-4340,WH-EAST,2025-12-12,2025-12-19,2025-12-21,2025-12-18,2025-12-22,10,10,0,48.0,480.0,delivered
SO-4349,1,CUST-0350,EC-2885,WH-SOUTH,2026-01-08,2026-01-17,2026-01-17,2026-01-17,2026-01-16,50,50,0,9.0,450.0,delivered
SO-4350,1,CUST-0425,SE-2100,WH-EAST,2025-12-17,2025-12-28,2025-12-30,2025-12-28,2025-12-30,25,25,0,16.0,400.0,delivered
SO-4351,1,CUST-0073,HF-2760,WH-EAST,2026-01-06,2026-01-13,2026-01-14,2026-01-13,2026-01-14,50,50,0,164.0,8200.0,delivered
SO-4352,1,CUST-0155,IF-8980,WH-EAST,2026-01-06,2026-01-17,2026-01-17,2026-01-17,2026-01-17,5,5,0,9.5,47.5,delivered
SO-4353,1,CUST-0089,SE-2100,WH-EAST,2025-12-29,2026-01-09,2026-01-09,2026-01-09,2026-01-08,10,10,0,16.0,160.0,delivered
SO-4354,1,CUST-0630,HF-2760,WH-EAST,2026-01-06,2026-01-16,2026-01-16,2026-01-16,2026-01-15,50,50,0,164.0,8200.0,delivered
SO-4355,1,CUST-0720,IF-7995,WH-CENTRAL,2025-12-26,2026-01-05,2026-01-05,2026-01-02,2026-01-05,25,25,0,24.0,600.0,delivered
SO-4356,1,CUST-0245,PB-4010,WH-EAST,2025-12-24,2026-01-07,2026-01-07,2026-01-05,2026-01-07,25,25,0,31.0,775.0,delivered
SO-4357,1,CUST-0230,EC-1205,WH-WEST,2025-12-26,2026-01-09,2026-01-09,2026-01-07,2026-01-09,5,5,0,48.0,240.0,delivered
SO-4358,1,CUST-0530,SE-1455,WH-EAST,2025-12-24,2026-01-07,2026-01-07,2026-01-06,2026-01-08,10,10,0,31.0,310.0,delivered
SO-4359,1,CUST-0102,IF-8540,WH-SOUTH,2025-12-17,2025-12-25,2025-12-25,2025-12-22,2025-12-24,25,25,0,26.0,650.0,delivered
SO-4360,1,CUST-0320,PB-5215,WH-WEST,2026-01-08,2026-01-17,2026-01-17,2026-01-14,2026-01-17,10,10,0,14.5,145.0,delivered
SO-4361,1,CUST-0171,PB-5650,WH-CENTRAL,2025-12-15,2025-12-28,2025-12-28,2025-12-28,2025-12-28,25,25,0,8.0,200.0,delivered
SO-4362,1,CUST-0041,HF-2650,WH-SOUTH,2025-12-22,2026-01-05,2026-01-05,2026-01-03,2026-01-04,25,25,0,61.0,1525.0,delivered
SO-4363,1,CUST-0134,PB-4340,WH-SOUTH,2026-01-05,2026-01-10,2026-01-10,2026-01-07,2026-01-09,10,10,0,48.0,480.0,delivered
SO-4364,1,CUST-0530,SE-1780,WH-CENTRAL,2026-01-01,2026-01-04,2026-01-06,2026-01-03,2026-01-06,50,50,0,28.0,1400.0,delivered
SO-4365,1,CUST-0680,PB-4455,WH-WEST,2025-12-24,2026-01-05,2026-01-07,2026-01-07,2026-01-08,10,10,0,24.0,240.0,delivered
SO-4366,1,CUST-0067,SE-1995,WH-EAST,2025-12-30,2026-01-05,2026-01-06,2026-01-03,2026-01-06,25,25,0,76.0,1900.0,delivered
SO-4367,1,CUST-0147,SE-3195,WH-SOUTH,2025-12-19,2026-01-02,2026-01-03,2026-01-01,2026-01-04,10,10,0,12.0,120.0,delivered
SO-4368,1,CUST-0350,IF-7995,WH-CENTRAL,2025-12-22,2025-12-30,2025-12-31,2025-12-28,2025-12-31,25,25,0,24.0,600.0,delivered
SO-4369,1,CUST-0056,EC-1835,WH-SOUTH,2025-12-18,2026-01-01,2026-01-01,2026-01-01,2026-01-01,25,25,0,11.5,287.5,delivered
SO-4370,1,CUST-0128,IF-7560,WH-CENTRAL,2025-12-26,2026-01-06,2026-01-06,2026-01-04,2026-01-07,25,25,0,36.0,900.0,delivered
SO-4371,1,CUST-0147,PB-4230,WH-SOUTH,2026-01-01,2026-01-05,2026-01-05,2026-01-05,2026-01-05,5,5,0,121.0,605.0,delivered
SO-4372,1,CUST-0720,PB-4125,WH-SOUTH,2025-12-16,2025-12-30,2025-12-30,2025-12-29,2025-12-29,25,25,0,57.0,1425.0,delivered
SO-4373,1,CUST-0440,HF-3280,WH-WEST,2025-12-18,2025-12-23,2025-12-23,2025-12-23,2025-12-23,10,10,0,7.7,77.0,delivered
SO-4374,1,CUST-0700,PB-5540,WH-SOUTH,2026-01-01,2026-01-04,2026-01-04,2026-01-01,2026-01-04,25,25,0,5.7,142.5,delivered
SO-4375,1,CUST-0410,EC-2160,WH-CENTRAL,2025-12-30,2026-01-10,2026-01-10,2026-01-10,2026-01-10,25,25,0,12.5,312.5,delivered
SO-4376,1,CUST-0520,IF-9195,WH-SOUTH,2025-12-22,2025-12-28,2025-12-29,2025-12-27,2025-12-30,10,10,0,13.5,135.0,delivered
SO-4377,1,CUST-0025,SE-1010,WH-WEST,2025-12-16,2025-12-30,2026-01-01,2025-12-31,2026-01-02,25,25,0,54.0,1350.0,delivered
